"","Age","Year","Count"
"1","15 to 19 years",2013,231041
"2","15 to 19 years",2014,225991
"3","15 to 19 years",2015,222506
"4","15 to 19 years",2016,219437
"5","15 to 19 years",2017,214989
"6","15 to 19 years",2018,212933
"7","15 to 19 years",2019,211838
"8","15 to 19 years",2020,211352
"9","15 to 19 years",2021,211689
"10","15 to 19 years",2022,215319
"11","15 to 19 years",2023,216097
"12","20 to 24 years",2013,265485
"13","20 to 24 years",2014,267614
"14","20 to 24 years",2015,268236
"15","20 to 24 years",2016,268583
"16","20 to 24 years",2017,265580
"17","20 to 24 years",2018,259892
"18","20 to 24 years",2019,253800
"19","20 to 24 years",2020,248462
"20","20 to 24 years",2021,242531
"21","20 to 24 years",2022,240700
"22","20 to 24 years",2023,240225
"23","25 to 29 years",2013,276074
"24","25 to 29 years",2014,279457
"25","25 to 29 years",2015,283950
"26","25 to 29 years",2016,290546
"27","25 to 29 years",2017,293750
"28","25 to 29 years",2018,294593
"29","25 to 29 years",2019,293903
"30","25 to 29 years",2020,291489
"31","25 to 29 years",2021,288225
"32","25 to 29 years",2022,287650
"33","25 to 29 years",2023,286805
"34","30 to 34 years",2013,280401
"35","30 to 34 years",2014,287165
"36","30 to 34 years",2015,292711
"37","30 to 34 years",2016,295367
"38","30 to 34 years",2017,295144
"39","30 to 34 years",2018,295965
"40","30 to 34 years",2019,297634
"41","30 to 34 years",2020,299633
"42","30 to 34 years",2021,301987
"43","30 to 34 years",2022,307767
"44","30 to 34 years",2023,309272
"45","35 to 39 years",2013,274297
"46","35 to 39 years",2014,272124
"47","35 to 39 years",2015,272732
"48","35 to 39 years",2016,279284
"49","35 to 39 years",2017,287212
"50","35 to 39 years",2018,294418
"51","35 to 39 years",2019,299918
"52","35 to 39 years",2020,303866
"53","35 to 39 years",2021,304130
"54","35 to 39 years",2022,307360
"55","35 to 39 years",2023,308059
"56","40 to 44 years",2013,321904
"57","40 to 44 years",2014,311632
"58","40 to 44 years",2015,303982
"59","40 to 44 years",2016,296827
"60","40 to 44 years",2017,289620
"61","40 to 44 years",2018,284653
"62","40 to 44 years",2019,282194
"63","40 to 44 years",2020,281758
"64","40 to 44 years",2021,286605
"65","40 to 44 years",2022,297411
"66","40 to 44 years",2023,301217
