Age,Year,Births
20 to 24 years,2013,15002
25 to 29 years,2013,20433
30 to 34 years,2013,15591
35 to 39 years,2013,7305
40 to 44 years,2013,1202
20 to 24 years,2014,14454
25 to 29 years,2014,20770
30 to 34 years,2014,16204
35 to 39 years,2014,7978
40 to 44 years,2014,1401
20 to 24 years,2015,13157
25 to 29 years,2015,20655
30 to 34 years,2015,16257
35 to 39 years,2015,7917
40 to 44 years,2015,1522
20 to 24 years,2016,12341
25 to 29 years,2016,20315
30 to 34 years,2016,16530
35 to 39 years,2016,7837
40 to 44 years,2016,1731
20 to 24 years,2017,11690
25 to 29 years,2017,19565
30 to 34 years,2017,16586
35 to 39 years,2017,7986
40 to 44 years,2017,1874
20 to 24 years,2018,10625
25 to 29 years,2018,18644
30 to 34 years,2018,16770
35 to 39 years,2018,7825
40 to 44 years,2018,1917
20 to 24 years,2019,10247
25 to 29 years,2019,17964
30 to 34 years,2019,16889
35 to 39 years,2019,7928
40 to 44 years,2019,2024
20 to 24 years,2020,9983
25 to 29 years,2020,16486
30 to 34 years,2020,16495
35 to 39 years,2020,7857
40 to 44 years,2020,1987
20 to 24 years,2021,9984
25 to 29 years,2021,15744
30 to 34 years,2021,16780
35 to 39 years,2021,8043
40 to 44 years,2021,1959
20 to 24 years,2022,9813
25 to 29 years,2022,14637
30 to 34 years,2022,15717
35 to 39 years,2022,8265
40 to 44 years,2022,1987
20 to 24 years,2023,10206
25 to 29 years,2023,14223
30 to 34 years,2023,15588
35 to 39 years,2023,8718
40 to 44 years,2023,2166
